water_object_observation_point,rate_state_aquatic_ecosystem,ingredients
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",NO3
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",NO2
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",NH4
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.ВЯТКА - Г.ВЯТСКИЕ ПОЛЯНЫ""","""3Б Очень загрязненная""",БПК5
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Никель
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Нефтепpод.
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Маpганец
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Кислоpод
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",БПК5
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",NO2
"""КУЙБЫШЕВСКОЕ ВДХР.Г.КАЗАНЬ 4 НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",NH4
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""",Цинк
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""",Нефтепpод.
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""",Маpганец
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""",Кислоpод
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""","""Железо общ."""
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""",БПК5
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""",SO4
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""",NH4
"""БАССЕЙН УРАЛА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная""","""Железо общ."""
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""",Медь
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""",Маpганец
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""","""Железо общ."""
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""",БПК5
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""",NO2
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НИЖНЕКАМ 0,5КМ НИЖЕ УСТЬЯ Р.ВОЛОЖКИ""","""3А Загрязненная""",Никель
"""Р.ТОМЬ, Г.ТОМСК 3,5КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Кислоpод
"""Р.БЕЛАЯ, Г.БИРСК 1,7 КМ ВЫШЕ Г.БИРСК""","""3А Загрязненная""","""Фенолы летуч."""
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""","""Железо общ."""
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",Кислоpод
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""",Цинк
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""",Хлоpиды
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""","""Фенолы летуч."""
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""",Нефтепpод.
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""",Медь
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""",Кислоpод
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""",БПК5
"""Р.ТОМЬ, Г.ТОМСК 3,5КМ НИЖЕ ГОРОДА""","""3Б Очень загрязненная""",Хлоpиды
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""",NO3
"""КУЙБЫШЕВСКОЕ ВДХР.Г.НАБЕРЕЖН ЧЕЛНЫ 6КМ Н.ГОРОДА, 6 КМ НИЖ ПЛ""","""3А Загрязненная""",NH4
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""","""Фенолы летуч."""
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",Нефтепpод.
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",Медь
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",БПК5
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",SO4
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",NO3
"""ВОЛГОГРАДСКОЕ ВДХР - Г.КАМЫШИН,3 КМ НИЖЕ ГОРОДА""","""3А Загрязненная""",NH4
"""ВОЛГОГРАДСКОЕ ВДХР - Г.ВОЛЖСКИЙ В ЧЕРТЕ ГОРОДА""","""3Б Очень загрязненная""",Цинк
"""ВДХР КУЙБЫШЕВСКОЕ - Г.ТОЛЬЯТТИ""","""3Б Очень загрязненная""",Кислоpод
"""БАССЕЙН УРАЛА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная""",Фосфаты
"""ВДХР САРАТОВСКОЕ - Г.БАЛАКОВО""","""3А Загрязненная""",Медь
"""ВДХР САРАТОВСКОЕ - Г.БАЛАКОВО""","""3А Загрязненная""",Маpганец
"""ВДХР САРАТОВСКОЕ - Г.БАЛАКОВО""","""3А Загрязненная""","""Железо общ."""
"""р.Волга - г.Волгоград""","""3Б Очень загрязненная""",NH4
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""",NH4
"""р.Волга - г.Волгоград""","""3Б Очень загрязненная""",Хлоpиды
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""",Медь
"""Р.САМАРА, Г.САМАРА, В ЧЕРТЕ Г.САМАРА, 0,1КМ ВЫШЕ АВТОДОРОЖНО""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Волга - г.Волгоград""","""3Б Очень загрязненная""","""Фенолы летуч."""
"""р.Волга - г.Волгоград""","""3Б Очень загрязненная""",Нефтепpод.
"""р.Волга - г.Волгоград""","""3Б Очень загрязненная""",Кислоpод
"""ВДХР ЗЕЙСКОЕ - С.БОМНАК""","""4А Грязная""",Кислоpод
"""р.Волга - г.Волгоград""","""3Б Очень загрязненная""","""Железо общ."""
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""",SO4
"""р.Волга - г.Волгоград""","""3Б Очень загрязненная""",БПК5
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""",Кислоpод
"""р.Волга - г.Волгоград""","""3Б Очень загрязненная""",NO3
"""Р.СВИЯГА, Г.УЛЬЯНОВСК 0,5КМ ГОРОДА""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""р.Кулу - с.Кулу""","""3Б Очень загрязненная""",Хлоpиды
"""БАССЕЙН УРАЛА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная""",NO2
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",БПК5
"""ВДХР НИЖНЕКАМСКОЕ - С.КАРАКУЛИНО""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""БАССЕЙН УРАЛА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная""",Цинк
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""","""Окисл. Бихp."""
"""р.Волга - с.Верхнее Лебяжье""","""3Б Очень загрязненная""",NO3
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Медь
"""р.Колыма - пос.Усть-Среднекан""","""4А Грязная""",NO3
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Нефтепpод.
"""БАССЕЙН ОБИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Формальдег.
"""Р.БЕЛАЯ, Г.СТЕРЛИТАМАК ,3 КМ ОТ Г. СТЕРЛИТАМАК""","""4А Грязная""","""Железо общ."""
"""ВОЛГОГРАДСКОЕ ВДХР - Г.ВОЛЖСКИЙ В ЧЕРТЕ ГОРОДА""","""3Б Очень загрязненная""",Нефтепpод.
"""ВОЛГОГРАДСКОЕ ВДХР - Г.ВОЛЖСКИЙ В ЧЕРТЕ ГОРОДА""","""3Б Очень загрязненная""","""Железо общ."""
"""ВОЛГОГРАДСКОЕ ВДХР - Г.ВОЛЖСКИЙ В ЧЕРТЕ ГОРОДА""","""3Б Очень загрязненная""",БПК5
"""р.Волга - с.Верхнее Лебяжье""","""3Б Очень загрязненная""",NH4
"""р.Волга - с.Верхнее Лебяжье""","""3Б Очень загрязненная""",Нефтепpод.
"""ВОЛГОГРАДСКОЕ ВДХР - Г.ВОЛЖСКИЙ В ЧЕРТЕ ГОРОДА""","""3Б Очень загрязненная""",Хлоpиды
"""ВДХР САРАТОВСКОЕ - Г.БАЛАКОВО""","""3А Загрязненная""",Хлоpиды
"""р.Волга - с.Верхнее Лебяжье""","""3Б Очень загрязненная""",Хлоpиды
"""р.Волга - с.Верхнее Лебяжье""","""3Б Очень загрязненная""",Медь
"""р.Волга - с.Верхнее Лебяжье""","""3Б Очень загрязненная""",NO2
"""ВОЛГОГРАДСКОЕ ВДХР - Г.ВОЛЖСКИЙ В ЧЕРТЕ ГОРОДА""","""3Б Очень загрязненная""","""Окисл. Бихp."""
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Хлоpиды
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Цинк
"""ВДХР ВОТКИНСКОЕ - Г.ЧАЙКОВСКИЙ""","""3А Загрязненная""",Хлоpиды
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""","""Хpом 6+"""
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""","""Фенолы летуч."""
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Фосфаты
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",БПК5
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",Кислоpод
"""БАССЕЙН УРАЛА""","""2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная""","""Окисл. Бихp."""
"""р.Онега - с.Порог""","""3Б Очень загрязненная""",SO4
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""","""Железо общ."""
"""БАССЕЙН ВОЛГИ""","""1 Условно чистая, 2 Слабо загрязненная, 3А Загрязненная, 3Б Очень загрязненная, 4А Грязная, 4Б Грязная, 4В Очень грязная, 4Г Очень грязная, 5 Экстремально грязная""",SO4
"""р.Иртыш - г.Ханты-Мансийск""","""4Б Грязная""",Нефтепpод.
"""р.Алдан - гм.ст.Верхоянский Перевоз""","""3А Загрязненная""",Хлоpиды
